rule_id,category,severity,score,pattern,message
BRD-SUP-01,Brand & Message Consistency,MEDIUM,10,terbaik,Klaim superioritas implisit memerlukan pembanding atau konteks
BRD-SUP-02,Brand & Message Consistency,MEDIUM,10,nomor satu,Klaim ranking memerlukan sumber atau pembuktian eksplisit
BRD-SUP-03,Brand & Message Consistency,MEDIUM,8,no 1,Klaim ranking informal tanpa referensi
BRD-SUP-04,Brand & Message Consistency,MEDIUM,8,paling unggul,Klaim keunggulan relatif tanpa definisi parameter
BRD-SUP-05,Brand & Message Consistency,MEDIUM,8,terdepan,Klaim posisi pasar memerlukan konteks pembanding
BRD-SUP-06,Brand & Message Consistency,MEDIUM,8,paling direkomendasikan,Klaim rekomendasi implisit tanpa sumber

BRD-COMP-01,Brand & Message Consistency,MEDIUM,5,lebih efektif,Klaim komparatif memerlukan dasar pengukuran
BRD-COMP-02,Brand & Message Consistency,MEDIUM,5,lebih efisien,Klaim komparatif implisit tanpa konteks pembanding
BRD-COMP-03,Brand & Message Consistency,MEDIUM,5,lebih cepat,Klaim kecepatan relatif tanpa tolok ukur
BRD-COMP-04,Brand & Message Consistency,MEDIUM,5,lebih aman,Klaim keamanan relatif tanpa penjelasan batasan

BRD-FRAM-01,Brand & Message Consistency,LOW,3,solusi terpercaya,Framing persuasif implisit perlu klarifikasi
BRD-FRAM-02,Brand & Message Consistency,LOW,3,pilihan cerdas,Framing nilai subjektif
BRD-FRAM-03,Brand & Message Consistency,LOW,3,dirancang untuk,Framing fungsional non-komitmen
BRD-FRAM-04,Brand & Message Consistency,LOW,3,membantu,Framing bantuan non-absolut
